generator,eval_model,mode,dataset,setting,total,correct,accuracy,stderr,random_baseline,delta_over_random,above_chance_fraction,results_path,config_root
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,arc_challenge,augment_ablation,1000,402,0.402,0.015504708962118573,0.1,0.30200000000000005,0.3355555555555556,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/augment_ablation
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,arc_challenge,augment_ablation,1000,344,0.344,0.015022117027902558,0.1,0.24399999999999997,0.2711111111111111,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/augment_ablation
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,arc_challenge,augment_ablation,1000,313,0.313,0.014663935351739656,0.1,0.213,0.23666666666666666,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/augment_ablation
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,arc_challenge,augment_human,1000,378,0.378,0.015333492752794452,0.1,0.278,0.30888888888888894,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/augment_human
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,arc_challenge,augment_human,1000,245,0.245,0.013600551459407815,0.1,0.145,0.1611111111111111,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/augment_human
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,arc_challenge,augment_human,1000,267,0.267,0.013989674763910703,0.1,0.167,0.18555555555555556,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/augment_human
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,arc_challenge,augment_model,1000,403,0.403,0.01551099609954177,0.1,0.30300000000000005,0.3366666666666667,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/augment_model
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,arc_challenge,augment_model,1000,341,0.341,0.01499063040702425,0.1,0.24100000000000002,0.2677777777777778,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/augment_model
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,arc_challenge,augment_model,1000,292,0.292,0.014378317008607092,0.1,0.19199999999999998,0.2133333333333333,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/augment_model
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,arc_challenge,human_from_scratch,1000,442,0.442,0.01570464899321217,0.25,0.192,0.256,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/human_from_scratch
