generator,eval_model,mode,dataset,setting,total,correct,accuracy,stderr,random_baseline,delta_over_random,results_path,config_root
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,full_question,arc_challenge,augment_ablation,1000,883,0.883,0.010164201887015036,0.1,0.783,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/arc_challenge/augment_ablation/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/arc_challenge/augment_ablation
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,full_question,arc_challenge,augment_ablation,1000,709,0.709,0.014363808687113596,0.1,0.609,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/full_question/arc_challenge/augment_ablation/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/full_question/arc_challenge/augment_ablation
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,full_question,arc_challenge,augment_ablation,1000,766,0.766,0.013388203763014663,0.1,0.666,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/full_question/arc_challenge/augment_ablation/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/full_question/arc_challenge/augment_ablation
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,full_question,arc_challenge,augment_human,1000,862,0.862,0.01090669519148674,0.1,0.762,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/arc_challenge/augment_human/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/arc_challenge/augment_human
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,full_question,arc_challenge,augment_human,1000,645,0.645,0.015131919904625453,0.1,0.545,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/full_question/arc_challenge/augment_human/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/full_question/arc_challenge/augment_human
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,full_question,arc_challenge,augment_human,1000,745,0.745,0.013783141876945184,0.1,0.645,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/full_question/arc_challenge/augment_human/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/full_question/arc_challenge/augment_human
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,full_question,arc_challenge,augment_model,1000,860,0.86,0.010972693379476163,0.1,0.76,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/arc_challenge/augment_model/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/arc_challenge/augment_model
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,full_question,arc_challenge,augment_model,1000,701,0.701,0.014477534320456644,0.1,0.601,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/full_question/arc_challenge/augment_model/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/full_question/arc_challenge/augment_model
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,full_question,arc_challenge,augment_model,1000,753,0.753,0.013637851736985557,0.1,0.653,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/full_question/arc_challenge/augment_model/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/full_question/arc_challenge/augment_model
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,full_question,gpqa,augment_ablation,442,119,0.2692307692307692,0.02109800242148228,0.1,0.1692307692307692,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/gpqa/augment_ablation/summary.json,/fs/nexus-projects/rlab/atrey/qgqa/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/full_question/gpqa/augment_ablation
