generator,eval_model,mode,dataset,setting,total,correct,accuracy,stderr,random_baseline,delta_over_random,above_chance_fraction,results_path,config_root
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,arc_challenge,human_from_scratch,1000,442,0.442,0.01570464899321217,0.25,0.192,0.256,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/human_from_scratch
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,arc_challenge,human_from_scratch,1000,353,0.353,0.015112610628213776,0.25,0.10299999999999998,0.1373333333333333,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/human_from_scratch
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,arc_challenge,human_from_scratch,1000,388,0.388,0.015409607392792329,0.25,0.138,0.18400000000000002,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/human_from_scratch
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,arc_challenge,model_from_scratch,1000,460,0.46,0.015760710643876435,0.25,0.21000000000000002,0.28,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/model_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/arc_challenge/model_from_scratch
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,arc_challenge,model_from_scratch,1000,403,0.403,0.01551099609954177,0.25,0.15300000000000002,0.20400000000000004,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/model_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/arc_challenge/model_from_scratch
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,arc_challenge,model_from_scratch,1000,378,0.378,0.015333492752794452,0.25,0.128,0.17066666666666666,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/model_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/arc_challenge/model_from_scratch
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,gpqa,human_from_scratch,442,137,0.30995475113122173,0.021997675904719096,0.25,0.05995475113122173,0.0799396681749623,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/human_from_scratch
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,gpqa,human_from_scratch,442,132,0.2986425339366516,0.021768795948790144,0.25,0.04864253393665158,0.06485671191553544,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/human_from_scratch
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,gpqa,human_from_scratch,442,123,0.27828054298642535,0.0213164310247422,0.25,0.02828054298642535,0.03770739064856713,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/human_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/human_from_scratch
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,gpqa,model_from_scratch,442,143,0.3235294117647059,0.022252059312291943,0.25,0.0735294117647059,0.09803921568627454,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/model_from_scratch/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/model_from_scratch
