generator,setting,n_obs,mean_correct
google/gemini-3.1-pro-preview,human_from_scratch,11809,0.6440003387247015
google/gemini-3.1-pro-preview,model_from_scratch,11813,0.6256666384491661
google/gemini-3.1-pro-preview,augment_human,11809,0.5275637225844695
google/gemini-3.1-pro-preview,augment_model,11356,0.5120641070799578
google/gemini-3.1-pro-preview,augment_ablation,11415,0.5256241787122208
openai/gpt-5.2-2025-12-11,human_from_scratch,11811,0.6450766234865803
openai/gpt-5.2-2025-12-11,model_from_scratch,11813,0.6044188605773301
openai/gpt-5.2-2025-12-11,augment_human,11812,0.4460717913985777
openai/gpt-5.2-2025-12-11,augment_model,11810,0.45241320914479255
openai/gpt-5.2-2025-12-11,augment_ablation,11809,0.5187568803454992
together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,11815,0.6456199746085485
together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,11813,0.6392956911876746
together/Qwen/Qwen3.5-397B-A17B,augment_human,11809,0.5163858074350072
together/Qwen/Qwen3.5-397B-A17B,augment_model,11360,0.5252640845070422
together/Qwen/Qwen3.5-397B-A17B,augment_ablation,11446,0.5433339157784379
