dataset,setting,n_items,difficulty,difficulty_sd,discrimination,discrimination_sd,difficulty_se,discrimination_se,n_questions,mean_flaws,mean_flaws_se
arc_challenge,augment_human,2985,-2.8001009699892587,1.5307225496970462,1.2066774828998297,0.26949180275188944,0.02801717303084324,0.004932571529430924,2985,2.4348408710217755,0.028607478046754523
arc_challenge,augment_model,2985,-2.800311333234008,1.541585439218467,1.2142031423523125,0.2644864952216004,0.028215999039774,0.0048409582144141395,2985,2.4894472361809044,0.02958814534387363
gpqa,augment_human,1245,-0.5878013697564772,1.454116827950843,1.1912809954191739,0.24332262523676246,0.041211139654105874,0.006896008970453144,1302,3.2450076804915513,0.05235375515343387
arc_challenge,augment_ablation,2985,-2.9973704492784465,1.5229044249749386,1.2064454937026097,0.264325707760639,0.027874076064538435,0.004838015283890358,2985,2.4938023450586266,0.029946848818118425
gpqa,augment_model,1245,-0.6396956950272283,1.478906981387481,1.1837297862270513,0.241895906826498,0.04191371764212331,0.006855574329630405,1302,3.1136712749615976,0.04953989700179323
mmlu_pro,augment_human,2862,-1.2052258914607374,1.6092839355538584,1.2174829090719497,0.2577150887601843,0.030081387302875323,0.004817314848869031,2982,3.6948356807511735,0.036267295936495435
mmlu_pro,augment_model,2862,-1.247786614123377,1.6312079524212866,1.1882745111278663,0.2618116612368116,0.03049119990837859,0.004893889641272781,2982,3.4057679409792088,0.0346731676579108
gpqa,augment_ablation,1245,-0.8348228760681171,1.4987554937782535,1.1760154155637286,0.26407794954478375,0.04247624453153087,0.007484235825532933,1302,3.248079877112135,0.050622578149505874
arc_challenge,model_from_scratch,2985,-3.336967164509734,1.4918004472706898,1.1860338807415578,0.21477741410684179,0.027304772681988866,0.003931121270369608,2985,1.6860971524288106,0.023756222317225864
arc_challenge,human_from_scratch,2985,-3.4496355844422406,1.4338308385470342,1.1907196082792801,0.1869648563122471,0.026243741368076112,0.0034220615166502236,2985,1.4961474036850921,0.02209954433552606
mmlu_pro,augment_ablation,2862,-1.4045318352536218,1.6297131627270283,1.1964395359558444,0.2610144482777419,0.030463258693819797,0.00487898781366186,2982,3.437961099932931,0.03521880659278837
gpqa,model_from_scratch,1245,-1.0170056437019206,1.4474883725936265,1.192196222536752,0.22319258796944533,0.04102328253412316,0.006325503381686375,1302,2.58678955453149,0.0425422225485021
gpqa,human_from_scratch,1245,-1.006945904582039,1.3954728318014749,1.2055266197385015,0.22727262060337095,0.03954910956908704,0.006441135627622877,1302,2.6705069124423964,0.04529744636008184
mmlu_pro,model_from_scratch,2862,-1.6664767901297293,1.6349883005652024,1.2070806460742625,0.23071327168069533,0.03056186370744131,0.004312585944600218,2982,2.8836351441985246,0.031844830248253624
mmlu_pro,human_from_scratch,2862,-1.7040846538407177,1.6037701733433056,1.2058079191285223,0.23164924463034098,0.02997832182580989,0.004330081530171708,2982,3.0761234071093226,0.03333109459963421
