generator_key,generator,generation_run_name,eval_model,mode,dataset,setting,total,observed_total,expected_total,missing_samples,coverage_fraction,correct,accuracy,stderr,random_baseline,delta_over_random,status
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,full_question,arc_challenge,augment_ablation,995,995,995,0,1.0,757,0.7608040201005025,0.013523895215819256,0.1,0.6608040201005025,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,full_question,arc_challenge,augment_ablation,995,995,995,0,1.0,574,0.5768844221105528,0.015662546486729774,0.1,0.4768844221105528,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/meta-llama/Llama-3.1-8B-Instruct,full_question,arc_challenge,augment_ablation,995,995,995,0,1.0,655,0.6582914572864321,0.015035763548204835,0.1,0.5582914572864321,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,full_question,arc_challenge,augment_ablation,995,995,995,0,1.0,746,0.749748743718593,0.013732021229455467,0.1,0.649748743718593,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,full_question,arc_challenge,augment_human,995,995,995,0,1.0,664,0.6673366834170854,0.014937001185144062,0.1,0.5673366834170854,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,full_question,arc_challenge,augment_human,995,995,995,0,1.0,475,0.47738693467336685,0.01583484641800934,0.1,0.3773869346733668,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/meta-llama/Llama-3.1-8B-Instruct,full_question,arc_challenge,augment_human,995,995,995,0,1.0,577,0.5798994974874372,0.01564737267593358,0.1,0.4798994974874372,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,full_question,arc_challenge,augment_human,995,995,995,0,1.0,653,0.6562814070351759,0.01505688115666506,0.1,0.5562814070351759,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,full_question,arc_challenge,augment_model,995,995,995,0,1.0,688,0.6914572864321608,0.01464295695596023,0.1,0.5914572864321608,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,full_question,arc_challenge,augment_model,995,995,995,0,1.0,479,0.4814070351758794,0.015840102458270004,0.1,0.38140703517587937,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/meta-llama/Llama-3.1-8B-Instruct,full_question,arc_challenge,augment_model,995,995,995,0,1.0,562,0.5648241206030151,0.015717283428759103,0.1,0.46482412060301515,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,full_question,arc_challenge,augment_model,995,995,995,0,1.0,667,0.6703517587939698,0.014902708879109144,0.1,0.5703517587939698,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,full_question,gpqa,augment_ablation,434,434,434,0,1.0,143,0.3294930875576037,0.02256212073780893,0.1,0.2294930875576037,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,full_question,gpqa,augment_ablation,434,434,434,0,1.0,101,0.23271889400921658,0.02028374814141573,0.1,0.13271889400921658,complete
