generator,setting,n_obs,mean_correct
google/gemini-3.1-pro-preview,human_from_scratch,11809,0.6188500296384114
google/gemini-3.1-pro-preview,model_from_scratch,11815,0.5946677951756242
google/gemini-3.1-pro-preview,augment_human,11813,0.49208499111148735
google/gemini-3.1-pro-preview,augment_model,11814,0.4884882342982902
google/gemini-3.1-pro-preview,augment_ablation,11814,0.5010157440325038
openai/gpt-5.2-2025-12-11,human_from_scratch,11811,0.6223859114384895
openai/gpt-5.2-2025-12-11,model_from_scratch,11812,0.572976633931595
openai/gpt-5.2-2025-12-11,augment_human,11815,0.40634786288616165
openai/gpt-5.2-2025-12-11,augment_model,11814,0.41306923988488237
openai/gpt-5.2-2025-12-11,augment_ablation,11811,0.4848023029379392
together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,11815,0.6208209902666102
together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,11814,0.6156255290333502
together/Qwen/Qwen3.5-397B-A17B,augment_human,11811,0.4848023029379392
together/Qwen/Qwen3.5-397B-A17B,augment_model,11816,0.5062626946513202
together/Qwen/Qwen3.5-397B-A17B,augment_ablation,11810,0.52116850127011
