dataset,target,model,features,n_items,n_stems,rank,r2,delta_r2_from_full
arc_challenge,difficulty,intercept_only,intercept,11940,995,1.0,0.0,0.06828408600681368
arc_challenge,difficulty,augmentation_only,is_augmentation,11940,995,2.0,0.05307524005307995,0.01520884595373373
arc_challenge,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,11940,995,4.0,0.004406016810453717,0.06387806919635997
arc_challenge,difficulty,flaws_only,n_flaws,11940,995,2.0,0.030764179150486126,0.037519906856327556
arc_challenge,difficulty,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,11940,995,5.0,0.05748125686353345,0.010802829143280235
arc_challenge,difficulty,augmentation_plus_flaws,is_augmentation+n_flaws,11940,995,3.0,0.06591372067608092,0.00237036533073276
arc_challenge,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,11940,995,5.0,0.032417206848891045,0.03586687915792264
arc_challenge,difficulty,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+n_flaws,11940,995,6.0,0.06828408600681368,0.0
arc_challenge,difficulty,drop_augmentation_from_full,source_plus_flaws,11940,995,,0.032417206848891045,0.03586687915792264
arc_challenge,difficulty,drop_source_from_full,augmentation_plus_flaws,11940,995,,0.06591372067608092,0.00237036533073276
arc_challenge,difficulty,drop_flaws_from_full,augmentation_plus_source,11940,995,,0.05748125686353345,0.010802829143280235
arc_challenge,discrimination,intercept_only,intercept,11940,995,1.0,0.0,0.004881444667574564
arc_challenge,discrimination,augmentation_only,is_augmentation,11940,995,2.0,0.0041504265191342204,0.0007310181484403433
arc_challenge,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,11940,995,4.0,0.0007054199539247019,0.004176024713649862
arc_challenge,discrimination,flaws_only,n_flaws,11940,995,2.0,0.0006891614711234118,0.004192283196451152
arc_challenge,discrimination,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,11940,995,5.0,0.004855846473058811,2.5598194515752404e-05
arc_challenge,discrimination,augmentation_plus_flaws,is_augmentation+n_flaws,11940,995,3.0,0.00421219947646112,0.0006692451911134434
arc_challenge,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,11940,995,5.0,0.0012751244461078892,0.0036063202214666745
arc_challenge,discrimination,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+n_flaws,11940,995,6.0,0.004881444667574564,0.0
arc_challenge,discrimination,drop_augmentation_from_full,source_plus_flaws,11940,995,,0.0012751244461078892,0.0036063202214666745
arc_challenge,discrimination,drop_source_from_full,augmentation_plus_flaws,11940,995,,0.00421219947646112,0.0006692451911134434
arc_challenge,discrimination,drop_flaws_from_full,augmentation_plus_source,11940,995,,0.004855846473058811,2.5598194515752404e-05
gpqa,difficulty,intercept_only,intercept,5208,434,1.0,-2.220446049250313e-16,0.9298982616082275
gpqa,difficulty,augmentation_only,is_augmentation,5208,434,2.0,0.8695521936919954,0.06034606791623187
gpqa,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,5208,434,4.0,0.0600689220849937,0.8698293395232336
gpqa,difficulty,flaws_only,n_flaws,5208,434,2.0,0.029748933348436646,0.9001493282597907
gpqa,difficulty,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,5208,434,5.0,0.9296211157769891,0.00027714583123816805
gpqa,difficulty,augmentation_plus_flaws,is_augmentation+n_flaws,5208,434,3.0,0.870185201324513,0.05971306028371426
gpqa,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,5208,434,5.0,0.08710733299086193,0.8427909286173654
gpqa,difficulty,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+n_flaws,5208,434,6.0,0.9298982616082273,0.0
gpqa,difficulty,drop_augmentation_from_full,source_plus_flaws,5208,434,,0.08710733299086193,0.8427909286173654
gpqa,difficulty,drop_source_from_full,augmentation_plus_flaws,5208,434,,0.870185201324513,0.05971306028371426
gpqa,difficulty,drop_flaws_from_full,augmentation_plus_source,5208,434,,0.9296211157769891,0.00027714583123816805
gpqa,discrimination,intercept_only,intercept,5208,434,1.0,0.0,0.0038553430728199833
gpqa,discrimination,augmentation_only,is_augmentation,5208,434,2.0,0.0018203466081632147,0.0020349964646567686
gpqa,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,5208,434,4.0,0.001094406175588536,0.0027609368972314474
gpqa,discrimination,flaws_only,n_flaws,5208,434,2.0,0.0006633798230769594,0.003191963249743024
gpqa,discrimination,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,5208,434,5.0,0.0029147527832132925,0.0009405902896066909
gpqa,discrimination,augmentation_plus_flaws,is_augmentation+n_flaws,5208,434,3.0,0.0029044953982361177,0.0009508476745838657
gpqa,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,5208,434,5.0,0.0016470730337923012,0.002208270039027682
gpqa,discrimination,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+n_flaws,5208,434,6.0,0.0038553430728199833,0.0
gpqa,discrimination,drop_augmentation_from_full,source_plus_flaws,5208,434,,0.0016470730337923012,0.002208270039027682
gpqa,discrimination,drop_source_from_full,augmentation_plus_flaws,5208,434,,0.0029044953982361177,0.0009508476745838657
gpqa,discrimination,drop_flaws_from_full,augmentation_plus_source,5208,434,,0.0029147527832132925,0.0009405902896066909
mmlu_pro,difficulty,intercept_only,intercept,11928,994,1.0,0.0,0.07736674969997481
mmlu_pro,difficulty,augmentation_only,is_augmentation,11928,994,2.0,0.03280965196988306,0.044557097730091755
mmlu_pro,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,11928,994,4.0,0.0035374995556620714,0.07382925014431274
mmlu_pro,difficulty,flaws_only,n_flaws,11928,994,2.0,0.0511793984946719,0.02618735120530291
mmlu_pro,difficulty,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,11928,994,5.0,0.036347151525545573,0.04101959817442924
mmlu_pro,difficulty,augmentation_plus_flaws,is_augmentation+n_flaws,11928,994,3.0,0.07327004577793506,0.004096703922039757
mmlu_pro,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,11928,994,5.0,0.05537163214904295,0.021995117550931864
mmlu_pro,difficulty,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+n_flaws,11928,994,6.0,0.07736674969997481,0.0
mmlu_pro,difficulty,drop_augmentation_from_full,source_plus_flaws,11928,994,,0.05537163214904295,0.021995117550931864
mmlu_pro,difficulty,drop_source_from_full,augmentation_plus_flaws,11928,994,,0.07327004577793506,0.004096703922039757
mmlu_pro,difficulty,drop_flaws_from_full,augmentation_plus_source,11928,994,,0.036347151525545573,0.04101959817442924
mmlu_pro,discrimination,intercept_only,intercept,11928,994,1.0,2.220446049250313e-16,0.017683782456847763
mmlu_pro,discrimination,augmentation_only,is_augmentation,11928,994,2.0,0.005693513718380228,0.011990268738467758
mmlu_pro,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,11928,994,4.0,0.0041624369635338,0.013521345493314185
mmlu_pro,discrimination,flaws_only,n_flaws,11928,994,2.0,0.009130413891676015,0.00855336856517197
mmlu_pro,discrimination,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,11928,994,5.0,0.009855950681913472,0.007827831774934513
mmlu_pro,discrimination,augmentation_plus_flaws,is_augmentation+n_flaws,11928,994,3.0,0.01293900839594564,0.004744774060902346
mmlu_pro,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,11928,994,5.0,0.013943515305122278,0.003740267151725707
mmlu_pro,discrimination,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+n_flaws,11928,994,6.0,0.017683782456847985,0.0
mmlu_pro,discrimination,drop_augmentation_from_full,source_plus_flaws,11928,994,,0.013943515305122278,0.003740267151725707
mmlu_pro,discrimination,drop_source_from_full,augmentation_plus_flaws,11928,994,,0.01293900839594564,0.004744774060902346
mmlu_pro,discrimination,drop_flaws_from_full,augmentation_plus_source,11928,994,,0.009855950681913472,0.007827831774934513
