gen_run,gen_model,dataset,setting,n,usable,unusable,pct_unusable
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,994,552,442,0.44466800804828976
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,994,552,442,0.44466800804828976
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,994,600,394,0.3963782696177062
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,994,628,366,0.3682092555331992
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,434,374,60,0.1382488479262673
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,434,377,57,0.1313364055299539
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,434,378,56,0.12903225806451613
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,434,389,45,0.10368663594470046
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,994,961,33,0.03319919517102616
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,994,968,26,0.026156941649899398
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,434,416,18,0.041474654377880185
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,995,981,14,0.01407035175879397
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_model,995,982,13,0.01306532663316583
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,434,423,11,0.02534562211981567
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,995,987,8,0.008040201005025126
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_ablation,995,988,7,0.007035175879396985
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,human_from_scratch,994,990,4,0.004024144869215292
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,human_from_scratch,994,990,4,0.004024144869215292
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,model_from_scratch,994,991,3,0.0030181086519114686
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,human_from_scratch,434,432,2,0.004608294930875576
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,model_from_scratch,434,432,2,0.004608294930875576
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,human_from_scratch,434,432,2,0.004608294930875576
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,model_from_scratch,434,433,1,0.002304147465437788
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,mmlu_pro,augment_ablation,999,998,1,0.001001001001001001
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,human_from_scratch,995,995,0,0.0
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,model_from_scratch,995,995,0,0.0
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_human,995,995,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,arc_challenge,human_from_scratch,1000,1000,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,arc_challenge,model_from_scratch,1000,1000,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,arc_challenge,augment_human,1000,1000,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,arc_challenge,augment_model,1000,1000,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,arc_challenge,augment_ablation,1000,1000,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,mmlu_pro,human_from_scratch,999,999,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,mmlu_pro,model_from_scratch,999,999,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,mmlu_pro,augment_human,999,999,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,mmlu_pro,augment_model,999,999,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,gpqa,human_from_scratch,444,444,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,gpqa,model_from_scratch,444,444,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,gpqa,augment_human,444,444,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,gpqa,augment_model,444,444,0,0.0
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,gpqa,augment_ablation,444,444,0,0.0
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,human_from_scratch,995,995,0,0.0
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,model_from_scratch,995,995,0,0.0
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_human,995,995,0,0.0
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,model_from_scratch,994,994,0,0.0
