gen_run,gen_model,dataset,setting,reason,count
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;model=26,184
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;model=26,173
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;model=26,158
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;model=26,143
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;correct=F;model=26,56
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;correct=F;model=26,53
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;correct=G;model=26,48
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;correct=G;model=26,46
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;correct=H;model=26,46
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;correct=J;model=26,44
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;correct=I;model=26,43
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;correct=J;model=26,43
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;correct=H;model=26,41
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;correct=J;model=26,41
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;correct=E;model=26,40
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;correct=H;model=26,40
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;correct=I;model=26,40
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;correct=E;model=26,39
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;correct=E;model=26,39
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;correct=H;model=26,39
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;correct=F;model=26,37
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;correct=F;model=26,37
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;correct=J;model=26,36
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;correct=G;model=26,36
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_model,options=10;correct=I;model=26,36
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,options=10;correct=I;model=26,36
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,options=10;correct=G;model=26,35
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,options=10;correct=E;model=26,35
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;model=26,24
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;model=26,22
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;model=26,21
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;model=26,19
