generator,dataset,setting,total,usable,unusable
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,arc_challenge,augment_ablation,995,995,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,arc_challenge,augment_human,995,995,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,arc_challenge,augment_model,995,995,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,arc_challenge,human_from_scratch,995,995,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,arc_challenge,model_from_scratch,995,995,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,arc_challenge,augment_ablation,1000,1000,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,arc_challenge,augment_human,1000,1000,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,arc_challenge,augment_model,1000,1000,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,arc_challenge,human_from_scratch,1000,1000,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,arc_challenge,model_from_scratch,1000,1000,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,995,995,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_human,995,995,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,995,995,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,arc_challenge,human_from_scratch,995,995,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,arc_challenge,model_from_scratch,995,995,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,gpqa,augment_ablation,434,434,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,gpqa,augment_human,434,416,18
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,gpqa,augment_model,434,434,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,gpqa,human_from_scratch,434,432,2
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,gpqa,model_from_scratch,434,434,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,gpqa,augment_ablation,444,444,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,gpqa,augment_human,444,444,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,gpqa,augment_model,444,444,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,gpqa,human_from_scratch,444,444,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,gpqa,model_from_scratch,444,444,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,434,434,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,434,423,11
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,434,434,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,gpqa,human_from_scratch,434,432,2
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,gpqa,model_from_scratch,434,434,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,mmlu_pro,augment_ablation,994,994,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,mmlu_pro,augment_human,994,961,33
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,mmlu_pro,augment_model,994,994,0
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,mmlu_pro,human_from_scratch,994,990,4
gemini_from_scratch_testing/google_gemini-3.1-pro-preview,mmlu_pro,model_from_scratch,994,994,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,mmlu_pro,augment_ablation,999,998,1
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,mmlu_pro,augment_human,999,999,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,mmlu_pro,augment_model,999,999,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,mmlu_pro,human_from_scratch,999,999,0
gen_gpt52_v2/openai_gpt-5.2-2025-12-11,mmlu_pro,model_from_scratch,999,999,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_ablation,994,994,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,994,968,26
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_model,994,994,0
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,human_from_scratch,994,990,4
together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,model_from_scratch,994,994,0
