generator,evaluator,total_rows,success_rows,irt_usable_rows,missing_rows,random_fallback_rows,blank_prediction_rows,null_correct_rows
google/gemini-3.1-pro-preview,openai/gpt-5.4-mini,21917,21917,21917,0,0,0,0
google/gemini-3.1-pro-preview,vllm/Qwen/Qwen3-4B-Instruct-2507,23640,23640,23640,0,0,0,0
google/gemini-3.1-pro-preview,vllm/allenai/Olmo-3-7B-Instruct,23640,23640,23640,0,2,0,0
google/gemini-3.1-pro-preview,vllm/meta-llama/Llama-3.1-8B-Instruct,23640,23640,23640,0,13,0,0
google/gemini-3.1-pro-preview,vllm/meta-llama/Llama-3.2-3B-Instruct,23640,23640,23640,0,15,0,0
google/gemini-3.1-pro-preview,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,23640,23640,23640,0,8,0,0
openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,23621,23621,23621,0,0,0,0
openai/gpt-5.2-2025-12-11,vllm/Qwen/Qwen3-4B-Instruct-2507,23640,23640,23640,0,0,0,0
openai/gpt-5.2-2025-12-11,vllm/allenai/Olmo-3-7B-Instruct,23640,23640,23640,0,1,0,0
openai/gpt-5.2-2025-12-11,vllm/meta-llama/Llama-3.1-8B-Instruct,23640,23640,23640,0,14,0,0
openai/gpt-5.2-2025-12-11,vllm/meta-llama/Llama-3.2-3B-Instruct,23640,23640,23640,0,12,0,0
openai/gpt-5.2-2025-12-11,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,23640,23640,23640,0,16,0,0
together/Qwen/Qwen3.5-397B-A17B,openai/gpt-5.4-mini,21996,21996,21996,0,0,0,0
together/Qwen/Qwen3.5-397B-A17B,vllm/Qwen/Qwen3-4B-Instruct-2507,23640,23640,23640,0,0,0,0
together/Qwen/Qwen3.5-397B-A17B,vllm/allenai/Olmo-3-7B-Instruct,23640,23640,23640,0,2,0,0
together/Qwen/Qwen3.5-397B-A17B,vllm/meta-llama/Llama-3.1-8B-Instruct,23640,23640,23640,0,16,0,0
together/Qwen/Qwen3.5-397B-A17B,vllm/meta-llama/Llama-3.2-3B-Instruct,23640,23640,23640,0,13,0,0
together/Qwen/Qwen3.5-397B-A17B,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,23640,23640,23640,0,6,0,0
