generation_run_name,generation_model,evaluation_model,dataset,setting,mode,path,n,bad,pct_bad,missing_path,random_fallback,non_success,blank_prediction
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,augment_ablation,full_question,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/augment_ablation/full_question,444,16,0.036036036036036036,False,16,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,augment_model,full_question,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/augment_model/full_question,444,14,0.03153153153153153,False,14,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,model_from_scratch,full_question,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/model_from_scratch/full_question,444,13,0.02927927927927928,False,13,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,augment_human,full_question,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/augment_human/full_question,444,13,0.02927927927927928,False,13,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,human_from_scratch,full_question,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/human_from_scratch/full_question,444,12,0.02702702702702703,False,12,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,human_from_scratch,choices_only,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/human_from_scratch/choices_only,444,10,0.02252252252252252,False,10,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,model_from_scratch,choices_only,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/model_from_scratch/choices_only,444,10,0.02252252252252252,False,10,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,augment_human,choices_only,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/augment_human/choices_only,444,10,0.02252252252252252,False,10,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,augment_model,choices_only,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/augment_model/choices_only,444,10,0.02252252252252252,False,10,10,0
gen_gpt52_v2,openai/gpt-5.2-2025-12-11,openai/gpt-5.4-mini,gpqa,augment_ablation,choices_only,datasets/collected/gen_gpt52_v2/openai_gpt-5.2-2025-12-11/openai_gpt-5.4-mini/gpqa/augment_ablation/choices_only,444,10,0.02252252252252252,False,10,10,0
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,openai/gpt-5.4-mini,gpqa,augment_human,full_question,datasets/collected/gemini_from_scratch_testing/google_gemini-3.1-pro-preview/openai_gpt-5.4-mini/gpqa/augment_human/full_question,371,4,0.01078167115902965,False,4,0,0
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,vllm/meta-llama/Llama-3.2-3B-Instruct,gpqa,augment_ablation,full_question,datasets/collected/gemini_from_scratch_testing/google_gemini-3.1-pro-preview/vllm_meta-llama_Llama-3.2-3B-Instruct/gpqa/augment_ablation/full_question,371,4,0.01078167115902965,False,4,0,0
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,openai/gpt-5.4-mini,gpqa,augment_model,full_question,datasets/collected/gemini_from_scratch_testing/google_gemini-3.1-pro-preview/openai_gpt-5.4-mini/gpqa/augment_model/full_question,371,3,0.008086253369272238,False,3,0,0
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,vllm/meta-llama/Llama-3.2-3B-Instruct,gpqa,human_from_scratch,full_question,datasets/collected/gemini_from_scratch_testing/google_gemini-3.1-pro-preview/vllm_meta-llama_Llama-3.2-3B-Instruct/gpqa/human_from_scratch/full_question,371,3,0.008086253369272238,False,3,0,0
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,vllm/meta-llama/Llama-3.2-3B-Instruct,gpqa,model_from_scratch,full_question,datasets/collected/gemini_from_scratch_testing/google_gemini-3.1-pro-preview/vllm_meta-llama_Llama-3.2-3B-Instruct/gpqa/model_from_scratch/full_question,371,3,0.008086253369272238,False,3,0,0
together_from_scratch_testing,together/Qwen/Qwen3.5-397B-A17B,openai/gpt-5.4-mini,gpqa,augment_human,full_question,datasets/collected/together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B/openai_gpt-5.4-mini/gpqa/augment_human/full_question,374,3,0.008021390374331552,False,3,0,0
together_from_scratch_testing,together/Qwen/Qwen3.5-397B-A17B,openai/gpt-5.4-mini,gpqa,augment_ablation,full_question,datasets/collected/together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B/openai_gpt-5.4-mini/gpqa/augment_ablation/full_question,374,3,0.008021390374331552,False,3,0,0
together_from_scratch_testing,together/Qwen/Qwen3.5-397B-A17B,vllm/meta-llama/Llama-3.2-3B-Instruct,gpqa,model_from_scratch,full_question,datasets/collected/together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B/vllm_meta-llama_Llama-3.2-3B-Instruct/gpqa/model_from_scratch/full_question,374,3,0.008021390374331552,False,3,0,0
