dataset,sample_id,missing_count,missing
arc_challenge,arc_challenge:MCAS_2002_8_11,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
arc_challenge,arc_challenge:MDSA_2007_8_17,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
arc_challenge,arc_challenge:Mercury_404435,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
arc_challenge,arc_challenge:Mercury_7007420,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
arc_challenge,arc_challenge:TIMSS_2003_8_pg117,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:rec2x0OAFHVNGxCgA,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:rec44cTEfuCXCkHVs,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:rec63khLVM4kK3sW3,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:rec6sE2CRtD4drtHg,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:recK3b4oZYRiKNVaA,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:recV1nqYQvpII94oC,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:recguj40XQkQq1l7Q,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:recmZvZDl0F55xR3r,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:recoiTJPGUmzAkief,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:recxWirvTOyWz2zja,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
gpqa,gpqa:rec42yAdAZnQgoibP,4,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:rec4L69T0Y1AS4AFS,4,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:rec9mLiVJz3PC7NZJ,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recFwRHr3u5YpusE2,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recJtBNF0wTwJS1eC,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recUVWz7kU1KFTc5G,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recWxGU8Q4YReJ1tb,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recXfU8eT0BtQtqlE,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recZqmTknlPHIG2Ud,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
