dataset,section,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available
arc_challenge,From Scratch,Human,human_from_scratch,Human,,2985,-2.6128955223931114,0.026036337609764152,1.279578059385571,0.006725671887774928,1.4961474036850921,0.02209954433552606,True
arc_challenge,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,995,-2.259415434382544,0.04846430581900138,1.3165466099392757,0.012322972483261552,2.093467336683417,0.04454293228431744,True
arc_challenge,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,995,-2.3982614465698613,0.04573082494547484,1.2924840724023394,0.012773024392036566,1.4331658291457285,0.037195192280521476,True
arc_challenge,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,995,-2.4158910317187496,0.04771735746498731,1.2664332644648666,0.012595133643701097,1.5316582914572865,0.03820688944733276,True
mmlu_pro,From Scratch,Human,human_from_scratch,Human,,2862,-0.6598936430375371,0.029841057050807567,1.263884087109871,0.0074023741721224705,2.8123689727463312,0.029715475035751185,True
mmlu_pro,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,954,-0.35556878600248976,0.0540836712281572,1.319002997836145,0.01249780983909514,3.0178197064989516,0.04951136307917294,True
mmlu_pro,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,954,-0.5206632480207235,0.05333234576354281,1.2917542789943264,0.012607065696531096,2.4056603773584904,0.04645472654643363,True
mmlu_pro,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,954,-0.6608972057311947,0.05346254442017293,1.2676904504144875,0.012571717276086272,2.5230607966457024,0.04934776079990048,True
gpqa,From Scratch,Human,human_from_scratch,Human,,1245,0.1222255329282939,0.03889406239557041,1.2818055415667955,0.009745275037148119,2.5453815261044177,0.042265408022498056,True
gpqa,From Scratch,GPT,model_from_scratch,Model,openai/gpt-5.2-2025-12-11,415,0.2591385086139683,0.07216932523245452,1.265820861795653,0.017328789060986793,2.708433734939759,0.06822521148907669,True
gpqa,From Scratch,Gemini,model_from_scratch,Model,google/gemini-3.1-pro-preview,415,0.2244547067689786,0.06918358215464018,1.232751383628679,0.01594605540269086,2.4168674698795183,0.06504407122397986,True
gpqa,From Scratch,Qwen,model_from_scratch,Model,together/Qwen/Qwen3.5-397B-A17B,415,0.07331771796520306,0.07108283525287332,1.2173896332133682,0.017363708355049662,2.4120481927710844,0.07167091037322233,True
