generator_key,generator,generator_display,dataset,dataset_display,sample_id,cosine_sem_0.90_count,hybrid_match_count,hybrid_match_proportion,any_formula_like_choice,formula_like_choice_count,exact_rule_match_count,cosine_rule_match_count,human_choices,model_choices,matched_human_distractors,matched_model_distractors,matched_pair_similarities,matched_pair_methods
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:CSZ_2009_8_CSZ20740,3,3,1.0,True,6,3,0,"0.02 s
100 s
200 s","200 s
0.02 s
100 s","200 s
0.02 s
100 s","200 s
0.02 s
100 s","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:MCAS_2006_9_34,3,3,1.0,True,6,3,0,"0.25 V
4 V
15 V","4 V
15 V
0.25 V","4 V
15 V
0.25 V","4 V
15 V
0.25 V","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:Mercury_400884,3,3,1.0,True,6,3,0,"3
8
15","3
8
15","3
8
15","3
8
15","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:Mercury_401912,3,3,1.0,True,6,3,0,"25%
50%
100%","25%
50%
100%","25%
50%
100%","25%
50%
100%","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,GPT-5.2,arc_challenge,ARC,arc_challenge:Mercury_401912,3,3,1.0,True,6,3,0,"25%
50%
100%","25%
50%
100%","25%
50%
100%","25%
50%
100%","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:Mercury_415303,3,3,1.0,True,6,3,0,"3
2
1","1
2
3","1
2
3","1
2
3","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:Mercury_415303,3,3,1.0,True,6,3,0,"3
2
1","3
2
1","3
2
1","3
2
1","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:Mercury_LBS10610,3,3,1.0,True,6,3,0,"32° F
41° F
98° F","32° F
41° F
98° F","32° F
41° F
98° F","32° F
41° F
98° F","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:Mercury_SC_415473,3,3,1.0,True,6,3,0,"2
4
16","16
4
2","16
4
2","16
4
2","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:Mercury_SC_415473,3,3,1.0,True,6,3,0,"2
4
16","16
2
4","16
2
4","16
2
4","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:NYSEDREGENTS_2013_4_21,3,3,1.0,True,6,3,0,"young plant -> seed -> adult plant
seed -> adult plant -> young plant
adult plant -> young plant -> seed","seed -> adult plant -> young plant
adult plant -> young plant -> seed
young plant -> seed -> adult plant","seed -> adult plant -> young plant
adult plant -> young plant -> seed
young plant -> seed -> adult plant","seed -> adult plant -> young plant
adult plant -> young plant -> seed
young plant -> seed -> adult plant","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:NYSEDREGENTS_2015_4_25,3,3,1.0,True,6,3,0,"young plant -> seed -> mature plant
seed -> mature plant -> young plant
mature plant -> young plant -> seed","mature plant -> young plant -> seed
seed -> mature plant -> young plant
young plant -> seed -> mature plant","mature plant -> young plant -> seed
seed -> mature plant -> young plant
young plant -> seed -> mature plant","mature plant -> young plant -> seed
seed -> mature plant -> young plant
young plant -> seed -> mature plant","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:TAKS_2009_8_36,3,3,1.0,True,6,3,0,"2
4
5","5
4
2","5
4
2","5
4
2","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,GPT-5.2,arc_challenge,ARC,arc_challenge:TAKS_2009_8_36,3,3,1.0,True,6,3,0,"2
4
5","2
4
5","2
4
5","2
4
5","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:TAKS_2009_8_36,3,3,1.0,True,6,3,0,"2
4
5","5
2
4","5
2
4","5
2
4","1.0
1.0
1.0","normalized_exact_formula_like
normalized_exact_formula_like
normalized_exact_formula_like"
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,GPT-5.2,arc_challenge,ARC,arc_challenge:ACTAAP_2009_5_12,3,3,1.0,False,0,0,3,"Red
White
Yellow","White
Yellow
Red","White
Yellow
Red","White
Yellow
Red","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:ACTAAP_2010_5_7,3,3,1.0,False,0,0,3,"Gas
Liquid
Plasma","Liquid
Gas
Plasma","Liquid
Gas
Plasma","Liquid
Gas
Plasma","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,GPT-5.2,arc_challenge,ARC,arc_challenge:ACTAAP_2010_5_7,3,3,1.0,False,0,0,3,"Gas
Liquid
Plasma","Liquid
Gas
Plasma","Liquid
Gas
Plasma","Liquid
Gas
Plasma","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:ACTAAP_2010_5_7,3,3,1.0,False,0,0,3,"Gas
Liquid
Plasma","Liquid
Gas
Plasma","Liquid
Gas
Plasma","Liquid
Gas
Plasma","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:AIMS_2008_4_5,3,3,1.0,False,0,0,3,"the place where the temperature is measured
the thermometer used to take the measurement
the time of day when the temperature is measured","the time of day the temperature is measured
the location where the temperature is measured
the thermometer used to measure the temperature","the time of day when the temperature is measured
the place where the temperature is measured
the thermometer used to take the measurement","the time of day the temperature is measured
the location where the temperature is measured
the thermometer used to measure the temperature","0.985252
0.95792
0.928208","cosine_text
cosine_text
cosine_text"
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,GPT-5.2,arc_challenge,ARC,arc_challenge:AIMS_2009_8_14,3,3,1.0,False,0,0,3,"The boiling point of bromine is colder than room temperature.
The melting point of oxygen is warmer than room temperature.
The melting point of bromine is warmer than room temperature.","The melting point of bromine is higher than room temperature.
The boiling point of oxygen is warmer than room temperature.
The boiling point of bromine is colder than room temperature.","The melting point of bromine is warmer than room temperature.
The melting point of oxygen is warmer than room temperature.
The boiling point of bromine is colder than room temperature.","The melting point of bromine is higher than room temperature.
The boiling point of oxygen is warmer than room temperature.
The boiling point of bromine is colder than room temperature.","0.955044
0.916572
1.0","cosine_text
cosine_text
cosine_text"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:AKDE&ED_2008_8_3,3,3,1.0,False,0,0,3,"Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,GPT-5.2,arc_challenge,ARC,arc_challenge:AKDE&ED_2008_8_3,3,3,1.0,False,0,0,3,"Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
together_from_scratch_testing/together/Qwen/Qwen3.5-397B-A17B,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,arc_challenge,ARC,arc_challenge:AKDE&ED_2008_8_3,3,3,1.0,False,0,0,3,"Meltwater decreases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.","Meltwater increases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.
Meltwater decreases, and the size of the glacier decreases.","Meltwater increases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.
Meltwater decreases, and the size of the glacier decreases.","Meltwater increases, and the size of the glacier decreases.
Meltwater increases, and the size of the glacier increases.
Meltwater decreases, and the size of the glacier decreases.","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:CSZ20754,3,3,1.0,False,0,0,3,"the speed
the direction
the acceleration","the speed
the direction
the acceleration","the speed
the direction
the acceleration","the speed
the direction
the acceleration","1.0
1.0
1.0","cosine_text
cosine_text
cosine_text"
gemini_from_scratch_testing/google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,arc_challenge,ARC,arc_challenge:LEAP__7_10339,3,3,1.0,False,0,0,3,"Water and sugar are used to in the process that provides energy to cells; oxygen and carbon dioxide are its waste products.
Oxygen and carbon dioxide are used in the process that provides energy to cells; sugar and water are its waste products.
Carbon dioxide and sugar are used in the process that provides energy to cells; water and oxygen are its waste products.","Water and carbon dioxide are used in the process that provides energy to cells; oxygen and sugar are its waste products.
Carbon dioxide and sugar are used in the process that provides energy to cells; water and oxygen are its waste products.
Oxygen and water are used in the process that provides energy to cells; carbon dioxide and sugar are its waste products.","Water and sugar are used to in the process that provides energy to cells; oxygen and carbon dioxide are its waste products.
Carbon dioxide and sugar are used in the process that provides energy to cells; water and oxygen are its waste products.
Oxygen and carbon dioxide are used in the process that provides energy to cells; sugar and water are its waste products.","Water and carbon dioxide are used in the process that provides energy to cells; oxygen and sugar are its waste products.
Carbon dioxide and sugar are used in the process that provides energy to cells; water and oxygen are its waste products.
Oxygen and water are used in the process that provides energy to cells; carbon dioxide and sugar are its waste products.","0.971706
1.0
0.98362","cosine_text
cosine_text
cosine_text"
