dataset,generator,hybrid_match_count,dataset_display,generator_display,n_items,percent_items
arc_challenge,openai/gpt-5.2-2025-12-11,0,ARC,GPT-5.2,705,70.85427135678393
arc_challenge,openai/gpt-5.2-2025-12-11,1,ARC,GPT-5.2,170,17.08542713567839
arc_challenge,openai/gpt-5.2-2025-12-11,2,ARC,GPT-5.2,92,9.246231155778894
arc_challenge,openai/gpt-5.2-2025-12-11,3,ARC,GPT-5.2,28,2.814070351758794
arc_challenge,google/gemini-3.1-pro-preview,0,ARC,Gemini-3.1 Pro,575,57.78894472361809
arc_challenge,google/gemini-3.1-pro-preview,1,ARC,Gemini-3.1 Pro,237,23.819095477386934
arc_challenge,google/gemini-3.1-pro-preview,2,ARC,Gemini-3.1 Pro,124,12.462311557788945
arc_challenge,google/gemini-3.1-pro-preview,3,ARC,Gemini-3.1 Pro,59,5.9296482412060305
arc_challenge,together/Qwen/Qwen3.5-397B-A17B,0,ARC,Qwen-3.5,612,61.50753768844221
arc_challenge,together/Qwen/Qwen3.5-397B-A17B,1,ARC,Qwen-3.5,222,22.311557788944725
arc_challenge,together/Qwen/Qwen3.5-397B-A17B,2,ARC,Qwen-3.5,114,11.457286432160805
arc_challenge,together/Qwen/Qwen3.5-397B-A17B,3,ARC,Qwen-3.5,47,4.723618090452261
mmlu_pro,openai/gpt-5.2-2025-12-11,0,MMLU,GPT-5.2,786,82.38993710691824
mmlu_pro,openai/gpt-5.2-2025-12-11,1,MMLU,GPT-5.2,110,11.530398322851154
mmlu_pro,openai/gpt-5.2-2025-12-11,2,MMLU,GPT-5.2,46,4.821802935010482
mmlu_pro,openai/gpt-5.2-2025-12-11,3,MMLU,GPT-5.2,12,1.2578616352201257
mmlu_pro,google/gemini-3.1-pro-preview,0,MMLU,Gemini-3.1 Pro,650,68.13417190775681
mmlu_pro,google/gemini-3.1-pro-preview,1,MMLU,Gemini-3.1 Pro,184,19.28721174004193
mmlu_pro,google/gemini-3.1-pro-preview,2,MMLU,Gemini-3.1 Pro,91,9.538784067085954
mmlu_pro,google/gemini-3.1-pro-preview,3,MMLU,Gemini-3.1 Pro,29,3.039832285115304
mmlu_pro,together/Qwen/Qwen3.5-397B-A17B,0,MMLU,Qwen-3.5,705,73.8993710691824
mmlu_pro,together/Qwen/Qwen3.5-397B-A17B,1,MMLU,Qwen-3.5,168,17.61006289308176
mmlu_pro,together/Qwen/Qwen3.5-397B-A17B,2,MMLU,Qwen-3.5,59,6.184486373165618
mmlu_pro,together/Qwen/Qwen3.5-397B-A17B,3,MMLU,Qwen-3.5,22,2.3060796645702304
gpqa,openai/gpt-5.2-2025-12-11,0,GPQA,GPT-5.2,278,66.98795180722891
gpqa,openai/gpt-5.2-2025-12-11,1,GPQA,GPT-5.2,66,15.903614457831326
gpqa,openai/gpt-5.2-2025-12-11,2,GPQA,GPT-5.2,38,9.156626506024097
gpqa,openai/gpt-5.2-2025-12-11,3,GPQA,GPT-5.2,33,7.951807228915663
gpqa,google/gemini-3.1-pro-preview,0,GPQA,Gemini-3.1 Pro,239,57.59036144578313
gpqa,google/gemini-3.1-pro-preview,1,GPQA,Gemini-3.1 Pro,88,21.204819277108435
gpqa,google/gemini-3.1-pro-preview,2,GPQA,Gemini-3.1 Pro,43,10.36144578313253
gpqa,google/gemini-3.1-pro-preview,3,GPQA,Gemini-3.1 Pro,45,10.843373493975903
gpqa,together/Qwen/Qwen3.5-397B-A17B,0,GPQA,Qwen-3.5,261,62.89156626506024
gpqa,together/Qwen/Qwen3.5-397B-A17B,1,GPQA,Qwen-3.5,79,19.03614457831325
gpqa,together/Qwen/Qwen3.5-397B-A17B,2,GPQA,Qwen-3.5,38,9.156626506024097
gpqa,together/Qwen/Qwen3.5-397B-A17B,3,GPQA,Qwen-3.5,37,8.91566265060241
