dataset,eval_model,eval_model_display,setting,distractor_source,count,proportion
arc_challenge,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round1,332,0.3074074074074074
arc_challenge,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round2,748,0.6925925925925925
arc_challenge,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round1,104,0.22174840085287847
arc_challenge,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round2,365,0.7782515991471215
arc_challenge,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round1,394,0.3005339435545385
arc_challenge,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round2,917,0.6994660564454614
arc_challenge,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round1,206,0.2658064516129032
arc_challenge,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round2,569,0.7341935483870968
arc_challenge,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round1,77,0.2894736842105263
arc_challenge,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round2,189,0.7105263157894737
arc_challenge,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round1,222,0.24584717607973422
arc_challenge,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round2,681,0.7541528239202658
arc_challenge,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round1,558,0.2811083123425693
arc_challenge,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round2,1427,0.7188916876574307
arc_challenge,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round1,359,0.3162995594713656
arc_challenge,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round2,776,0.6837004405286343
arc_challenge,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round1,234,0.27923627684964203
arc_challenge,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round2,604,0.720763723150358
arc_challenge,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round1,187,0.26449787835926447
arc_challenge,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round2,520,0.7355021216407355
arc_challenge,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round1,365,0.2849336455893833
arc_challenge,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round2,916,0.7150663544106167
arc_challenge,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_human,round1,515,0.3241032095657646
arc_challenge,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_human,round2,1074,0.6758967904342353
arc_challenge,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_human,round1,389,0.28857566765578635
arc_challenge,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_human,round2,959,0.7114243323442137
arc_challenge,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_human,round1,436,0.3072586328400282
arc_challenge,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_human,round2,983,0.6927413671599718
arc_challenge,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_model,round1,492,0.44931506849315067
arc_challenge,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_model,round2,603,0.5506849315068493
arc_challenge,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_model,round1,167,0.35084033613445376
arc_challenge,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_model,round2,309,0.6491596638655462
arc_challenge,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_model,round1,610,0.4433139534883721
arc_challenge,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_model,round2,766,0.5566860465116279
arc_challenge,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_model,round1,319,0.4259012016021362
arc_challenge,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_model,round2,430,0.5740987983978638
arc_challenge,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,round1,101,0.38113207547169814
arc_challenge,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,round2,164,0.6188679245283019
arc_challenge,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_model,round1,360,0.36072144288577157
arc_challenge,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_model,round2,638,0.6392785571142284
arc_challenge,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_model,round1,697,0.34267453294001965
arc_challenge,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_model,round2,1337,0.6573254670599803
arc_challenge,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_model,round1,480,0.4281891168599465
arc_challenge,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_model,round2,641,0.5718108831400536
arc_challenge,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round1,352,0.39111111111111113
arc_challenge,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round2,548,0.6088888888888889
arc_challenge,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round1,298,0.4191279887482419
arc_challenge,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round2,413,0.5808720112517581
arc_challenge,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round1,527,0.41333333333333333
arc_challenge,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round2,748,0.5866666666666667
arc_challenge,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round1,747,0.45604395604395603
arc_challenge,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round2,891,0.5439560439560439
arc_challenge,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round1,561,0.4146341463414634
arc_challenge,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round2,792,0.5853658536585366
arc_challenge,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round1,592,0.4074328974535444
arc_challenge,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round2,861,0.5925671025464556
gpqa,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round1,380,0.3881511746680286
gpqa,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round2,599,0.6118488253319714
gpqa,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round1,309,0.4339887640449438
gpqa,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round2,403,0.5660112359550562
gpqa,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round1,388,0.388
gpqa,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round2,612,0.612
gpqa,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round1,367,0.388771186440678
gpqa,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round2,577,0.611228813559322
gpqa,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round1,171,0.46467391304347827
gpqa,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round2,197,0.5353260869565217
