dataset,label,setting,source,generator,n_items,difficulty,difficulty_se,discrimination,discrimination_se,mean_flaws,mean_flaws_se,validity_available,diversity_group,mean_diversity,mean_answer_similarity,max_answer_similarity,round1_share,round1_count
arc_challenge,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,995,-1.5164010493027535,0.0491449747637816,1.2734711321543306,0.0154614627083402,2.9316582914572864,0.0528774541730438,True,augment_human_round2,0.5791233826840493,0.39921434584328785,0.5297315598807143,0.21273697263377805,1253
arc_challenge,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,995,-2.0354265057778806,0.0449102861438412,1.3431362864881995,0.0148846059698375,2.093467336683417,0.045285813088431,True,augment_human_round2,0.5806322028645169,0.42993495879676097,0.5680711887664531,0.38314962747394676,1616
arc_challenge,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,995,-1.8975066638103752,0.0473963342057911,1.2847432547321422,0.0150392946391449,2.279396984924623,0.0461923663383575,True,augment_human_round2,0.6063935712925229,0.4091681466454256,0.5521669460001902,0.315817214586556,1509
arc_challenge,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,995,-1.5057880800256502,0.0495751130307617,1.317704551950821,0.0151137991713632,3.1085427135678394,0.053965030247239,True,augment_model_all,0.5544215755518432,0.4117352157831192,0.5796560441653932,0.3088070982685976,1846
arc_challenge,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,995,-1.9786186797999807,0.0445486534434384,1.3455924341492658,0.0151806702495403,2.1055276381909547,0.0469908813057058,True,augment_model_all,0.5647168254788647,0.44480087366610316,0.6220787809646908,0.48797235899509056,2192
arc_challenge,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,995,-1.8970085948239368,0.0476367579297857,1.279204885299246,0.0144665293071563,2.2542713567839194,0.0466317903755298,True,augment_model_all,0.5906400598070805,0.4241291210017911,0.6150334814385553,0.469767491061632,2265
arc_challenge,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,995,-1.8476748551172515,0.0489345938076027,1.3016704015022764,0.0148507109651372,3.078391959798995,0.0549822541063978,True,augment_ablation,0.5672495070601528,0.4208088204695202,0.6037061111786257,,0
arc_challenge,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,995,-2.085553683461396,0.0443409050745926,1.3129707158421402,0.014237430254928,2.164824120603015,0.0473877949512483,True,augment_ablation,0.5772359808317231,0.4390338698121246,0.622879191985981,,0
arc_challenge,Qwen Augment Ablation,augment_ablation,Ablation,together/Qwen/Qwen3.5-397B-A17B,995,-1.9988696749279011,0.0470759814197923,1.2812339107834971,0.0148921407839214,2.238190954773869,0.0478504585552795,True,augment_ablation,0.5995506960093675,0.4250445382678928,0.6159555234576589,,0
mmlu_pro,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,954,0.0958128565439095,0.0533735607783505,1.2807792798375617,0.0122533468418006,3.8354297693920336,0.0589661497746014,True,augment_human_round2,0.5107775866961891,0.46452274985720776,0.5920411432454796,0.29420066059219485,2741
mmlu_pro,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,954,-0.1635599522437328,0.0521759481812614,1.2530125186518983,0.0131476699094559,3.2127882599580717,0.057766109736928,True,augment_human_round2,0.5172962215719296,0.4914555786025224,0.6291860004640976,0.4296482446638857,3679
mmlu_pro,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,954,-0.2083301668150415,0.0529544823067258,1.2374212600376462,0.0129965469838446,3.336477987421384,0.0570494093762231,True,augment_human_round2,0.5335900696566567,0.4772716990752103,0.6197386062401395,0.44022540727052784,3718
mmlu_pro,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,954,0.1126620216595348,0.0531857214046853,1.2872394044610536,0.0131032233669259,3.628930817610063,0.0569881715272115,True,augment_model_all,0.48941728437565407,0.4718773109795412,0.6336128879768044,0.44465220645294473,4151
mmlu_pro,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,954,-0.1713307689213888,0.0530853984821965,1.2717910242753174,0.0132058038481263,2.8375262054507338,0.0508389231063574,True,augment_model_all,0.5084619215207342,0.4976406473689859,0.6719530693390084,0.5037742490369289,4288
mmlu_pro,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,954,-0.3124321832943431,0.0540283812787749,1.2474650945262409,0.0139910020042373,3.1320754716981134,0.0565689322523796,True,augment_model_all,0.5147329429994324,0.4852419368907091,0.6628915771404652,0.5151029135260322,4162
mmlu_pro,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,954,-0.1567926328884072,0.0544292214626801,1.2920931041100572,0.0134675623338474,3.593291404612159,0.0567517832994937,True,augment_ablation,0.5013991179768644,0.48006862289500685,0.6448845313530048,,0
mmlu_pro,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,954,-0.2504246303324114,0.0530996897947107,1.2819671830919903,0.0136288553639296,2.9371069182389937,0.0523778056052781,True,augment_ablation,0.5178834621948766,0.49647696557566057,0.6737993032411834,,0
mmlu_pro,Qwen Augment Ablation,augment_ablation,Ablation,together/Qwen/Qwen3.5-397B-A17B,954,-0.3994422296406818,0.0531332556532274,1.2332267216575534,0.0139227913009594,3.135220125786164,0.0560238058364976,True,augment_ablation,0.5266018982242551,0.48379369900099134,0.6677739460888149,,0
gpqa,GPT Augment Human,augment_human,Augment Human,openai/gpt-5.2-2025-12-11,415,0.659359151292107,0.0739739464437231,1.237030458744522,0.0163078399166138,3.36144578313253,0.0909047940516525,True,augment_human_round2,0.3175620759590473,0.688515638371548,0.7930801875979068,0.3405349451774423,1458
gpqa,Gemini Augment Human,augment_human,Augment Human,google/gemini-3.1-pro-preview,415,0.5766996376780732,0.0710161560881813,1.2420780072134856,0.0173742910620288,3.0819277108433734,0.0888791760324106,True,augment_human_round2,0.30379095550020596,0.709871660406331,0.8188290720962617,0.38727511602470643,1638
gpqa,Qwen Augment Human,augment_human,Augment Human,together/Qwen/Qwen3.5-397B-A17B,415,0.4847832881311467,0.072600332633457,1.249414496331868,0.0181772416702376,3.1012048192771084,0.0912870737129772,True,augment_human_round2,0.3191051171049027,0.7012174843844161,0.8139837226235723,0.38739856145264057,1592
gpqa,GPT Augment Model,augment_model,Augment Model,openai/gpt-5.2-2025-12-11,415,0.6225132996693361,0.0740159989788108,1.2323603919291262,0.0179751624160419,3.419277108433735,0.0842336828676534,True,augment_model_all,0.30922739989831144,0.6904657892613526,0.823874790984464,0.3892321614033112,1632
gpqa,Gemini Augment Model,augment_model,Augment Model,google/gemini-3.1-pro-preview,415,0.5439422552617589,0.0728324085911245,1.2405792007548635,0.0169097733642957,2.8650602409638557,0.0766887698072593,True,augment_model_all,0.29164584155183243,0.7231889378055032,0.8526803586856428,0.4162037175192331,1735
gpqa,Qwen Augment Model,augment_model,Augment Model,together/Qwen/Qwen3.5-397B-A17B,415,0.369423082847905,0.0746558754567789,1.196422146694391,0.0180318132970458,2.9927710843373494,0.0869514305081056,True,augment_model_all,0.31111402824094675,0.7055568142334022,0.8382998425737921,0.4377655191917329,1708
gpqa,GPT Augment Ablation,augment_ablation,Ablation,openai/gpt-5.2-2025-12-11,415,0.4174388263521976,0.0746164897390826,1.213191996057612,0.0179449238940922,3.486746987951807,0.0873087759208383,True,augment_ablation,0.3236985258455108,0.6924882824341935,0.8258504132908511,,0
gpqa,Gemini Augment Ablation,augment_ablation,Ablation,google/gemini-3.1-pro-preview,415,0.3913174476827972,0.0735321822474522,1.2102345876180989,0.0182265936944607,2.9397590361445785,0.0786761859647396,True,augment_ablation,0.3031975876035012,0.7211332852222834,0.8533052919499845,,0
