level,estimate,reference,stem_id,dataset,sample_id,question
arc_challenge::arc_challenge:ACTAAP_2009_5_8,-5.0587807448775886,False,arc_challenge::arc_challenge:ACTAAP_2009_5_8,arc_challenge,arc_challenge:ACTAAP_2009_5_8,What cell part is found in plant cells but not in animal cells?
arc_challenge::arc_challenge:Mercury_7218505,-5.093106083436344,False,arc_challenge::arc_challenge:Mercury_7218505,arc_challenge,arc_challenge:Mercury_7218505,An astronomer collects data from observations of a star. The astronomer thinks the data indicate that a large planet orbits the star. How should the astronomer report the findings to best support the scientific reliability of the data?
arc_challenge::arc_challenge:TIMSS_1995_8_K18,-5.093264450342346,False,arc_challenge::arc_challenge:TIMSS_1995_8_K18,arc_challenge,arc_challenge:TIMSS_1995_8_K18,What is the main function of chloroplasts in a plant cell?
arc_challenge::arc_challenge:OHAT_2008_5_34,-5.1105680881770486,False,arc_challenge::arc_challenge:OHAT_2008_5_34,arc_challenge,arc_challenge:OHAT_2008_5_34,What is the role of decomposers in a food web?
arc_challenge::arc_challenge:Mercury_7221988,-5.194028839650918,False,arc_challenge::arc_challenge:Mercury_7221988,arc_challenge,arc_challenge:Mercury_7221988,Which of the following best describes the function of a resistor in an electrical circuit?
arc_challenge::arc_challenge:Mercury_SC_410971,-5.195401960694922,False,arc_challenge::arc_challenge:Mercury_SC_410971,arc_challenge,arc_challenge:Mercury_SC_410971,Cities control the amount of pollution that is allowed to come from cars. How does this most likely help people?
arc_challenge::arc_challenge:Mercury_SC_413299,-5.206891461428495,False,arc_challenge::arc_challenge:Mercury_SC_413299,arc_challenge,arc_challenge:Mercury_SC_413299,Which alternative energy resource is produced from plants?
arc_challenge::arc_challenge:Mercury_7221078,-5.2292628150020155,False,arc_challenge::arc_challenge:Mercury_7221078,arc_challenge,arc_challenge:Mercury_7221078,Scientists studying a group of young sage grouse discovered a large percentage were infected with blood parasites. How will these blood parasites most likely affect the young birds?
arc_challenge::arc_challenge:Mercury_7107240,-5.263441034106012,False,arc_challenge::arc_challenge:Mercury_7107240,arc_challenge,arc_challenge:Mercury_7107240,"The process of rain forest deforestation affects ecosystems on a global scale. Wildlife, people, and climate can be affected. One of the long-term effects of deforestation is that"
arc_challenge::arc_challenge:AKDE&ED_2008_4_19,-5.2914669960741305,False,arc_challenge::arc_challenge:AKDE&ED_2008_4_19,arc_challenge,arc_challenge:AKDE&ED_2008_4_19,Which statement describes a positive effect of a scientific discovery?
arc_challenge::arc_challenge:NYSEDREGENTS_2008_8_42,-5.3029999024561825,False,arc_challenge::arc_challenge:NYSEDREGENTS_2008_8_42,arc_challenge,arc_challenge:NYSEDREGENTS_2008_8_42,The gravitational force between the Moon and Earth depends on
arc_challenge::arc_challenge:OHAT_2010_8_8,-5.422104814243484,False,arc_challenge::arc_challenge:OHAT_2010_8_8,arc_challenge,arc_challenge:OHAT_2010_8_8,Bass tapeworms attach to the gills and intestines of bass fish. These worms survive by taking nutrients from the bass. What type of relationship does this represent?
arc_challenge::arc_challenge:MCAS_2006_8_1,-5.436448161537255,False,arc_challenge::arc_challenge:MCAS_2006_8_1,arc_challenge,arc_challenge:MCAS_2006_8_1,"The terms gas exchange, diaphragm, and inhale are most closely associated with which system in the human body?"
arc_challenge::arc_challenge:Mercury_7186358,-5.436592845859894,False,arc_challenge::arc_challenge:Mercury_7186358,arc_challenge,arc_challenge:Mercury_7186358,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Which is best for a scientist to do when reporting research on dinosaurs now?"
arc_challenge::arc_challenge:Mercury_SC_405937,-5.437254626882269,False,arc_challenge::arc_challenge:Mercury_SC_405937,arc_challenge,arc_challenge:Mercury_SC_405937,Which of these do scientists most likely do when studying the interaction of animals in their natural habitat?
arc_challenge::arc_challenge:Mercury_7038833,-5.746910305469024,False,arc_challenge::arc_challenge:Mercury_7038833,arc_challenge,arc_challenge:Mercury_7038833,Which of these describes the property of being a thermal insulator?
arc_challenge::arc_challenge:Mercury_7107328,-5.746910305469024,False,arc_challenge::arc_challenge:Mercury_7107328,arc_challenge,arc_challenge:Mercury_7107328,Two different species evolving from a common ancestor most likely occurs
arc_challenge::arc_challenge:MCAS_8_2014_8,-5.746910305469024,False,arc_challenge::arc_challenge:MCAS_8_2014_8,arc_challenge,arc_challenge:MCAS_8_2014_8,Which of the following is the most important function of the research and development department of a large corporation?
arc_challenge::arc_challenge:Mercury_405136,-5.746910305469024,False,arc_challenge::arc_challenge:Mercury_405136,arc_challenge,arc_challenge:Mercury_405136,Which statement is true about rocks?
arc_challenge::arc_challenge:TIMSS_2003_8_pg94,-5.746910305469024,False,arc_challenge::arc_challenge:TIMSS_2003_8_pg94,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,The Sun is an example of which of the following?
