generator,setting,n_obs,mean_correct
google/gemini-3.1-pro-preview,human_from_scratch,9447,0.5790197946438023
google/gemini-3.1-pro-preview,model_from_scratch,9451,0.5596233202835679
google/gemini-3.1-pro-preview,augment_human,9451,0.44450322717172785
google/gemini-3.1-pro-preview,augment_model,9451,0.4409057242619829
google/gemini-3.1-pro-preview,augment_ablation,9451,0.45413183790075123
openai/gpt-5.2-2025-12-11,human_from_scratch,9449,0.5808022012911419
openai/gpt-5.2-2025-12-11,model_from_scratch,9452,0.5398857384680491
openai/gpt-5.2-2025-12-11,augment_human,9451,0.36101999788382183
openai/gpt-5.2-2025-12-11,augment_model,9450,0.36994708994708997
openai/gpt-5.2-2025-12-11,augment_ablation,9451,0.44291609353507566
together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,9452,0.5801946677951756
together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,9451,0.5784573061051741
together/Qwen/Qwen3.5-397B-A17B,augment_human,9448,0.4368120237087214
together/Qwen/Qwen3.5-397B-A17B,augment_model,9452,0.45863309352517984
together/Qwen/Qwen3.5-397B-A17B,augment_ablation,9447,0.47803535513919765
