level,estimate,reference,stem_id,dataset,sample_id,question
arc_challenge::arc_challenge:Mercury_7109603,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7109603,arc_challenge,arc_challenge:Mercury_7109603,Insulin is an important protein for the regulation of glucose levels in the blood. Which statement best describes the function of insulin?
arc_challenge::arc_challenge:Mercury_7116183,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7116183,arc_challenge,arc_challenge:Mercury_7116183,The human population is increasing every day. How does this increase in population affect the natural resources that maintain humans?
arc_challenge::arc_challenge:Mercury_7116288,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7116288,arc_challenge,arc_challenge:Mercury_7116288,What is the main function of photosynthetic cells within a plant?
arc_challenge::arc_challenge:Mercury_7186358,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7186358,arc_challenge,arc_challenge:Mercury_7186358,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Which is best for a scientist to do when reporting research on dinosaurs now?"
arc_challenge::arc_challenge:Mercury_SC_400032,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_SC_400032,arc_challenge,arc_challenge:Mercury_SC_400032,Which process takes place when liquid water changes into water vapor?
arc_challenge::arc_challenge:Mercury_7132405,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7132405,arc_challenge,arc_challenge:Mercury_7132405,How does the skin help the body maintain homeostasis?
arc_challenge::arc_challenge:LEAP__7_10352,-4.325075682770738,False,arc_challenge::arc_challenge:LEAP__7_10352,arc_challenge,arc_challenge:LEAP__7_10352,A scientist discovers that a certain substance will be useful in treating nerve damage. What is the best way she can communicate her results to the scientific community?
arc_challenge::arc_challenge:Mercury_7218505,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7218505,arc_challenge,arc_challenge:Mercury_7218505,An astronomer collects data from observations of a star. The astronomer thinks the data indicate that a large planet orbits the star. How should the astronomer report the findings to best support the scientific reliability of the data?
arc_challenge::arc_challenge:LEAP__7_10348,-4.325075682770738,False,arc_challenge::arc_challenge:LEAP__7_10348,arc_challenge,arc_challenge:LEAP__7_10348,A scientist studied the number of eggs a species of bird lays each year. He found that the most common number of eggs laid in a year is three. Which statistical measurement did the scientist find?
arc_challenge::arc_challenge:LEAP_2005_8_10404,-4.325075682770738,False,arc_challenge::arc_challenge:LEAP_2005_8_10404,arc_challenge,arc_challenge:LEAP_2005_8_10404,The radiant energy that comes to Earth from the Sun is
arc_challenge::arc_challenge:TIMSS_2007_4_pg19,-4.325075682770738,False,arc_challenge::arc_challenge:TIMSS_2007_4_pg19,arc_challenge,arc_challenge:TIMSS_2007_4_pg19,Some people have straight hair and some have curly hair. What decides whether a person will be born with curly hair or straight hair?
arc_challenge::arc_challenge:TIMSS_2003_8_pg94,-4.325075682770738,False,arc_challenge::arc_challenge:TIMSS_2003_8_pg94,arc_challenge,arc_challenge:TIMSS_2003_8_pg94,The Sun is an example of which of the following?
arc_challenge::arc_challenge:MSA_2013_5_23,-4.325075682770738,False,arc_challenge::arc_challenge:MSA_2013_5_23,arc_challenge,arc_challenge:MSA_2013_5_23,Human activities affect the natural environment in many ways. Which action would have a positive effect on the natural environment?
arc_challenge::arc_challenge:Mercury_SC_401162,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_SC_401162,arc_challenge,arc_challenge:Mercury_SC_401162,What unit of measurement would be used to describe the melting point of a substance?
arc_challenge::arc_challenge:Mercury_SC_401147,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_SC_401147,arc_challenge,arc_challenge:Mercury_SC_401147,The main function of a producer in an ecosystem is to
arc_challenge::arc_challenge:Mercury_SC_409266,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_SC_409266,arc_challenge,arc_challenge:Mercury_SC_409266,Gravity on Earth is caused by
arc_challenge::arc_challenge:Mercury_SC_409245,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_SC_409245,arc_challenge,arc_challenge:Mercury_SC_409245,Monica grows vegetable plants in her garden. The plants have holes in their leaves and look unhealthy. Which task should Monica do first to solve this problem?
arc_challenge::arc_challenge:Mercury_7201775,-4.325075682770738,False,arc_challenge::arc_challenge:Mercury_7201775,arc_challenge,arc_challenge:Mercury_7201775,Which component of the cell membrane functions to actively transport molecules into the cell?
arc_challenge::arc_challenge:VASoL_2008_5_10,-4.325075682770738,False,arc_challenge::arc_challenge:VASoL_2008_5_10,arc_challenge,arc_challenge:VASoL_2008_5_10,Which of these objects is opaque?
arc_challenge::arc_challenge:AKDE&ED_2008_4_19,-4.325075682770738,False,arc_challenge::arc_challenge:AKDE&ED_2008_4_19,arc_challenge,arc_challenge:AKDE&ED_2008_4_19,Which statement describes a positive effect of a scientific discovery?
