dataset,setting,n_items,difficulty,difficulty_sd,discrimination,discrimination_sd,difficulty_se,discrimination_se,n_questions,mean_flaws,mean_flaws_se
gpqa,augment_human,1245,9.310529838239136,0.10633746866962136,1.0000013257436169,0.00020450442211699668,0.003013711269666992,5.795861885198316e-06,1302,3.2450076804915513,0.05235375515343387
gpqa,augment_model,1245,9.268876721194738,0.10632935111514882,1.0000133438847603,0.00020739891587479646,0.0030134812099739967,5.877894761916154e-06,1302,3.1136712749615976,0.04953989700179323
gpqa,augment_ablation,1245,9.090833297024425,0.10632738990800455,1.000028016644816,0.00022065571476365437,0.003013425627382585,6.253605832631847e-06,1302,3.248079877112135,0.050622578149505874
gpqa,model_from_scratch,1245,8.741206347734808,0.10634328000656758,0.9999893607311383,0.00014217073665160338,0.003013875968825866,4.0292622781437214e-06,1302,2.58678955453149,0.0425422225485021
gpqa,human_from_scratch,1245,8.644548276781366,0.10636015845289275,0.9999924901029419,0.00012613032142869295,0.0030143543210430193,3.5746607088923996e-06,1302,2.6705069124423964,0.04529744636008184
arc_challenge,augment_human,2985,-1.1499403333942417,1.5785158616805601,1.1954555850778528,0.2538178285853516,0.028891945204170273,0.004645687112400699,2985,2.4348408710217755,0.028607478046754523
mmlu_pro,augment_human,2862,0.6766920474194416,1.7095812544524331,1.1368207476651542,0.2374198433089544,0.03195618542182234,0.004437947898551933,2982,3.6948356807511735,0.036267295936495435
arc_challenge,augment_model,2985,-1.1627823789899756,1.5827860319083369,1.2024009676601863,0.25004531674716607,0.028970103129110004,0.004576637945422485,2985,2.4894472361809044,0.02958814534387363
mmlu_pro,augment_model,2862,0.6049629487726397,1.7223442129343733,1.1314858454268517,0.24584097250760314,0.03219475581250584,0.004595359057239055,2982,3.4057679409792088,0.0346731676579108
arc_challenge,augment_ablation,2985,-1.350102952711898,1.580405633478493,1.193216755749144,0.24762519654923654,0.02892653413961254,0.004532341919108474,2985,2.4938023450586266,0.029946848818118425
mmlu_pro,augment_ablation,2862,0.4365607626900843,1.7184520861043573,1.1421263095260188,0.24387607847672801,0.03212200260095692,0.004558630461963841,2982,3.437961099932931,0.03521880659278837
arc_challenge,model_from_scratch,2985,-1.7379769359645845,1.5600365716167748,1.1710418900040322,0.20274897606030476,0.028553714433801936,0.0037109619540341273,2985,1.6860971524288106,0.023756222317225864
mmlu_pro,model_from_scratch,2862,0.12691343244979258,1.7084970862441575,1.146906737121259,0.20958114140400946,0.031935919710437244,0.00391757560407319,2982,2.8836351441985246,0.031844830248253624
arc_challenge,human_from_scratch,2985,-1.910512142322453,1.5163651147062394,1.1687132854958304,0.18226061052798911,0.027754385538429197,0.003335958605222378,2985,1.4961474036850921,0.02209954433552606
mmlu_pro,human_from_scratch,2862,0.03400180201466014,1.6984106288525143,1.1487139016351398,0.2123535634930659,0.031747379562481595,0.003969398840970942,2982,3.0761234071093226,0.03333109459963421
